1 -- 2, 0; 100V
1 -- 3, 0;
2 -- 4, 1.0;
3 -- 4, 1.0;
3 -- 5, 0;
4 -- 6, 1.0;
5 -- 6, 1.0;
5 -- 7, 0;
6 -- 8, 1.0;
7 -- 8, 1.0;
7 -- 9, 0;
8 -- 10, 1.0;
9 -- 10, 1.0;
9 -- 11, 0;
10 -- 12, 1.0;
11 -- 12, 1.0;
11 -- 13, 0;
12 -- 14, 1.0;
13 -- 14, 1.0;
13 -- 15, 0;
14 -- 16, 1.0;
15 -- 16, 1.0;
15 -- 17, 0;
16 -- 18, 1.0;
17 -- 18, 1.0;
17 -- 19, 0;
18 -- 20, 1.0;
19 -- 20, 1.0;
19 -- 21, 0;
20 -- 22, 1.0;
21 -- 22, 1.0;
21 -- 23, 0;
22 -- 24, 1.0;
23 -- 24, 1.0;
23 -- 25, 0;
24 -- 26, 1.0;
25 -- 26, 1.0;
25 -- 27, 0;
26 -- 28, 1.0;
27 -- 28, 1.0;
27 -- 29, 0;
28 -- 30, 1.0;
29 -- 30, 1.0;
29 -- 31, 0;
30 -- 32, 1.0;
31 -- 32, 1.0;
31 -- 33, 0;
32 -- 34, 1.0;
33 -- 34, 1.0;
33 -- 35, 0;
34 -- 36, 1.0;
35 -- 36, 1.0;
35 -- 37, 0;
36 -- 38, 1.0;
37 -- 38, 1.0;
37 -- 39, 0;
38 -- 40, 1.0;
39 -- 40, 1.0;
39 -- 41, 0;
40 -- 42, 1.0;
41 -- 42, 1.0;
41 -- 43, 0;
42 -- 44, 1.0;
43 -- 44, 1.0;
43 -- 45, 0;
44 -- 46, 1.0;
45 -- 46, 1.0;
45 -- 47, 0;
46 -- 48, 1.0;
47 -- 48, 1.0;
47 -- 49, 0;
48 -- 50, 1.0;
49 -- 50, 1.0;
49 -- 51, 0;
50 -- 52, 1.0;
51 -- 52, 1.0;
51 -- 53, 0;
52 -- 54, 1.0;
53 -- 54, 1.0;
53 -- 55, 0;
54 -- 56, 1.0;
55 -- 56, 1.0;
55 -- 57, 0;
56 -- 58, 1.0;
57 -- 58, 1.0;
57 -- 59, 0;
58 -- 60, 1.0;
59 -- 60, 1.0;
59 -- 61, 0;
60 -- 62, 1.0;
61 -- 62, 1.0;
61 -- 63, 0;
62 -- 64, 1.0;
63 -- 64, 1.0;
63 -- 65, 0;
64 -- 66, 1.0;
65 -- 66, 1.0;
65 -- 67, 0;
66 -- 68, 1.0;
67 -- 68, 1.0;
67 -- 69, 0;
68 -- 70, 1.0;
69 -- 70, 1.0;
69 -- 71, 0;
70 -- 72, 1.0;
71 -- 72, 1.0;
71 -- 73, 0;
72 -- 74, 1.0;
73 -- 74, 1.0;
73 -- 75, 0;
74 -- 76, 1.0;
75 -- 76, 1.0;
75 -- 77, 0;
76 -- 78, 1.0;
77 -- 78, 1.0;
77 -- 79, 0;
78 -- 80, 1.0;
79 -- 80, 1.0;
79 -- 81, 0;
80 -- 82, 1.0;
81 -- 82, 1.0;
81 -- 83, 0;
82 -- 84, 1.0;
83 -- 84, 1.0;
83 -- 85, 0;
84 -- 86, 1.0;
85 -- 86, 1.0;
85 -- 87, 0;
86 -- 88, 1.0;
87 -- 88, 1.0;
87 -- 89, 0;
88 -- 90, 1.0;
89 -- 90, 1.0;
89 -- 91, 0;
90 -- 92, 1.0;
91 -- 92, 1.0;
91 -- 93, 0;
92 -- 94, 1.0;
93 -- 94, 1.0;
93 -- 95, 0;
94 -- 96, 1.0;
95 -- 96, 1.0;
95 -- 97, 0;
96 -- 98, 1.0;
97 -- 98, 1.0;
97 -- 99, 0;
98 -- 100, 1.0;
99 -- 100, 1.0;
99 -- 101, 0;
100 -- 102, 1.0;
101 -- 102, 1.0;
