1 -- 2, 0; 100V
1 -- 3, 0;
2 -- 4, 1.0;
3 -- 4, 1.0;
3 -- 5, 0;
4 -- 6, 1.0;
5 -- 6, 1.0;
5 -- 7, 0;
6 -- 8, 1.0;
7 -- 8, 1.0;
7 -- 9, 0;
8 -- 10, 1.0;
9 -- 10, 1.0;
9 -- 11, 0;
10 -- 12, 1.0;
11 -- 12, 1.0;
11 -- 13, 0;
12 -- 14, 1.0;
13 -- 14, 1.0;
13 -- 15, 0;
14 -- 16, 1.0;
15 -- 16, 1.0;
15 -- 17, 0;
16 -- 18, 1.0;
17 -- 18, 1.0;
17 -- 19, 0;
18 -- 20, 1.0;
19 -- 20, 1.0;
19 -- 21, 0;
20 -- 22, 1.0;
21 -- 22, 1.0;
21 -- 23, 0;
22 -- 24, 1.0;
23 -- 24, 1.0;
23 -- 25, 0;
24 -- 26, 1.0;
25 -- 26, 1.0;
25 -- 27, 0;
26 -- 28, 1.0;
27 -- 28, 1.0;
27 -- 29, 0;
28 -- 30, 1.0;
29 -- 30, 1.0;
29 -- 31, 0;
30 -- 32, 1.0;
31 -- 32, 1.0;
31 -- 33, 0;
32 -- 34, 1.0;
33 -- 34, 1.0;
33 -- 35, 0;
34 -- 36, 1.0;
35 -- 36, 1.0;
35 -- 37, 0;
36 -- 38, 1.0;
37 -- 38, 1.0;
37 -- 39, 0;
38 -- 40, 1.0;
39 -- 40, 1.0;
39 -- 41, 0;
40 -- 42, 1.0;
41 -- 42, 1.0;
41 -- 43, 0;
42 -- 44, 1.0;
43 -- 44, 1.0;
43 -- 45, 0;
44 -- 46, 1.0;
45 -- 46, 1.0;
45 -- 47, 0;
46 -- 48, 1.0;
47 -- 48, 1.0;
47 -- 49, 0;
48 -- 50, 1.0;
49 -- 50, 1.0;
49 -- 51, 0;
50 -- 52, 1.0;
51 -- 52, 1.0;
